Gene	Percentage Presence
AAC6-PRIME	100.0
KDPE	97.73
APH3-DPRIME	41.67
APH6	41.67
ANT3-DPRIME	16.67
AAC3	10.23
PBP2	99.62
AMPH	90.91
TEM	35.61
OXA	17.8
CTX	10.98
SULII	36.74
SULI	37.12
SULIII	7.95
TETA	26.89
TETC	0.76
CATA	34.85
CMLA	0.38
DFRA	37.88
QNRB	0.38
MEFB	0.38
FOSA	6.44
BACA	100.0
MSBA	100.0
SDIA	100.0
HNS	99.62
RAMA	23.48
MDTK	99.62
BCR	100.0
EMRB	99.62
EMRA	99.62
EMRR	99.62
ACRA	100.0
ACRB	99.62
CRP	99.62
EMRD	99.62
YOGI	98.86
CPXAR	100.0
MARA	99.62
MARR	99.62
QACEDELTA1	9.85
QACL	0.38
MDTA	100.0
MDTB	99.24
MDTC	100.0
BAES	99.62
BAER	100.0
GESA	99.24
GESB	98.11
GESC	98.48
ACRD	100.0
SOXS	100.0
ROBA	100.0
